id,position,age,area,sex,partner,num_child,education,service_length,study_time,commute,overtime,salary
0,1,44,愛知県,2,1,2,1,24,2.0,1.6,9.2,428.074887285115
1,2,31,奈良県,1,0,0,0,13,9.0,0.7,12.4,317.9305170360562
2,2,36,山口県,1,0,0,2,14,4.0,0.4,16.9,357.3503158457039
3,0,22,東京都,2,0,0,0,4,3.0,0.4,6.1,201.31091090863256
4,0,25,鹿児島県,2,0,0,1,5,3.0,0.2,4.9,178.06747488160818
5,1,23,兵庫県,2,1,3,1,3,2.0,1.3,7.4,277.53597369799775
6,1,32,神奈川県,2,1,2,0,14,5.0,1.7,11.8,332.3367627905058
7,0,21,奈良県,1,0,0,0,3,3.0,0.1,18.9,192.69632524721965
8,3,43,宮城県,2,0,0,0,25,11.0,0.7,10.1,435.0564226381134
9,2,46,茨城県,2,1,2,2,24,7.0,1.7,4.8,469.98673481206146
10,1,27,岩手県,2,0,0,0,9,0.0,0.5,12.3,251.30527981617735
11,2,50,奈良県,2,1,4,1,30,9.0,1.6,1.4,452.29656107281903
12,0,21,鳥取県,1,1,1,0,3,6.0,1.3,23.9,254.1039415503432
13,0,23,岡山県,2,0,0,0,5,4.0,0.2,8.0,177.8206490815176
14,0,24,愛媛県,2,0,0,0,6,2.0,0.2,13.9,184.03322854818265
15,1,35,新潟県,2,1,3,0,17,10.0,1.4,11.2,339.4415445022387
16,0,21,宮城県,2,1,5,1,0,1.0,1.3,7.0,266.3571938598757
17,1,22,山口県,2,0,0,1,0,3.0,0.9,6.8,408.76086677494465
18,1,26,島根県,1,0,0,1,6,3.0,0.3,10.7,272.12682885085707
19,2,33,和歌山県,1,1,1,2,11,6.0,2.1,0.0,575.2209118471609
20,2,39,高知県,2,1,2,1,19,0.0,1.7,4.1,333.48004132639664
21,0,22,岩手県,1,1,1,1,0,3.0,1.3,10.7,238.58214900666295
22,3,46,石川県,2,1,2,2,24,0.0,1.8,6.4,471.83782335896586
23,4,46,奈良県,1,1,6,0,28,8.0,2.1,19.5,680.9569339842438
24,1,26,愛媛県,2,1,1,0,8,2.0,1.5,16.3,280.4147502194911
25,0,22,熊本県,2,0,0,0,4,0.0,0.1,5.1,159.3371223318416
26,3,48,埼玉県,2,0,0,1,28,6.0,0.6,1.3,425.9130936818247
27,2,29,鳥取県,1,1,2,1,9,0.0,1.5,6.8,346.194998254722
28,2,41,愛媛県,1,1,1,1,21,8.0,1.7,18.5,381.71343230624643
29,0,22,佐賀県,2,1,1,1,2,2.0,1.2,4.9,225.2993787099548
30,2,55,香川県,2,0,0,0,37,4.0,0.8,10.6,378.74269885317017
31,3,39,宮城県,1,0,0,2,17,4.0,1.1,19.1,448.6812718038538
32,0,26,宮崎県,1,0,0,1,6,5.0,0.1,10.3,204.72775872959804
33,2,50,福島県,2,1,3,0,32,1.0,1.7,7.7,439.0072421272871
34,0,22,大阪府,2,1,0,1,2,0.0,1.5,18.7,241.95520051823303
35,0,27,宮崎県,1,0,0,0,9,3.0,0.2,19.0,200.90133272516593
36,0,25,奈良県,2,0,0,1,5,2.0,0.1,4.4,187.3618283417272
37,2,36,愛媛県,2,1,5,0,18,6.0,1.7,11.4,452.52114953704984
38,0,26,大分県,1,0,0,0,8,4.0,0.3,12.6,210.1922931412355
39,0,23,和歌山県,2,0,0,2,0,1.0,0.3,8.0,164.40802260353612
40,0,22,岐阜県,1,0,0,0,4,3.0,0.1,9.2,167.72631426636823
41,0,26,長崎県,1,0,0,0,8,4.0,0.2,7.2,194.22580568124064
42,2,50,広島県,2,0,0,1,30,0.0,1.1,5.6,585.1625686774387
43,2,31,大分県,2,0,0,1,11,7.0,0.5,0.0,264.65382826533113
44,2,40,神奈川県,1,0,0,4,13,2.0,0.6,10.8,336.0741468302184
45,3,32,宮城県,2,1,4,1,7,0.0,1.6,11.6,484.2179252503912
46,0,22,北海道,2,0,0,1,2,6.0,0.2,8.8,175.1490424808745
47,2,25,愛媛県,1,1,5,1,5,1.0,1.8,7.3,533.8140598685654
48,0,20,広島県,1,1,3,0,1,5.0,0.9,13.6,254.3442358248412
49,3,36,山口県,1,1,1,0,18,11.0,1.9,9.1,419.8990890759566
50,0,21,東京都,1,1,2,1,0,6.0,2.2,19.3,290.41429265174355
51,3,33,富山県,2,1,0,1,8,0.0,1.2,0.5,369.0506440599769
52,0,23,高知県,1,1,2,0,0,0.0,1.2,18.6,265.5260891808004
53,0,24,和歌山県,1,1,2,0,0,5.0,1.2,10.7,240.88469377794232
54,0,25,山形県,1,0,0,0,7,2.0,0.3,17.7,197.11530404332373
55,0,25,徳島県,1,0,0,0,5,3.0,0.2,13.7,179.6853806610349
56,2,53,埼玉県,2,1,3,0,35,0.0,1.6,15.2,443.8834997224912
57,1,21,青森県,1,1,2,1,0,8.0,1.9,6.5,408.0163908700483
58,0,23,高知県,2,0,0,1,3,2.0,0.3,4.9,165.39944346575714
59,0,22,千葉県,2,0,0,0,4,0.0,0.3,3.6,187.01213510441775
60,0,26,鳥取県,2,0,0,0,8,0.0,0.2,0.0,187.5374061358834
61,0,21,香川県,2,0,0,0,3,0.0,0.3,5.4,159.55217660110787
62,0,27,滋賀県,1,1,4,0,9,4.0,1.2,11.8,293.91874075573105
63,2,40,沖縄県,1,0,0,1,20,3.0,0.7,8.2,237.19856047912677
64,1,35,沖縄県,2,1,3,2,13,0.0,1.9,12.4,511.44447475676265
65,1,27,三重県,2,1,1,4,0,6.0,1.6,4.2,233.97068843125993
66,1,34,愛知県,1,0,0,0,16,5.0,0.5,0.8,274.81401717112055
67,3,50,兵庫県,1,0,0,1,30,-0.0,0.7,14.4,474.6049744367607
68,2,42,宮崎県,2,0,0,2,20,2.0,0.6,11.1,371.1146383825441
69,3,52,東京都,2,1,3,1,32,6.0,4.3,18.2,648.5297096550212
70,2,25,千葉県,2,1,2,0,0,1.0,1.5,9.1,346.6974463488986
71,2,52,東京都,1,0,0,1,32,7.0,2.3,11.9,653.4730843095803
72,0,24,神奈川県,2,0,0,0,6,4.0,0.1,10.6,181.54927967739715
73,0,20,沖縄県,2,0,0,0,0,0.0,0.3,16.4,172.2249014749876
74,3,53,和歌山県,1,0,0,1,33,10.0,1.0,17.5,447.3152608136074
75,2,44,愛知県,2,0,0,0,26,2.0,1.0,13.6,559.2416206665357
76,3,45,大阪府,2,1,4,0,27,0.0,3.6,10.9,640.7976083666431
77,3,34,新潟県,1,1,1,3,10,4.0,1.7,14.7,442.24512462170577
78,1,31,長野県,1,1,1,0,9,3.0,1.6,11.6,279.81008319694183
79,2,44,山形県,2,1,1,2,22,7.0,2.2,15.5,693.0660918764524
80,2,39,三重県,2,1,0,2,17,20.0,1.5,9.0,602.4646677992461
81,4,56,京都府,2,1,0,1,36,4.0,1.5,3.6,557.7022391166123
82,0,22,宮崎県,2,0,0,0,4,3.0,0.2,9.1,146.80882473102085
83,1,33,兵庫県,2,1,2,2,11,6.0,2.0,12.0,562.1929977066526
84,0,25,岡山県,1,0,0,1,5,3.0,0.1,21.1,252.09657688511396
85,2,36,高知県,2,0,0,2,14,8.0,0.6,11.9,297.97478547005994
86,1,40,栃木県,2,0,0,0,22,2.0,0.6,9.7,276.19663458270287
87,0,25,福井県,2,1,1,1,5,5.0,1.2,8.9,225.12890001067862
88,2,42,愛知県,2,1,0,2,20,8.0,1.2,8.1,373.53315553132086
89,2,49,熊本県,1,0,0,1,29,4.0,0.8,17.4,360.3827370109889
90,3,47,岐阜県,2,1,1,0,29,4.0,1.7,7.8,504.3220125100216
91,0,25,大阪府,1,1,3,1,5,3.0,2.5,12.2,301.3590133779325
92,4,52,長野県,1,0,0,0,34,6.0,1.1,14.7,547.0146616869555
93,0,21,山梨県,1,0,0,0,1,4.0,0.3,12.2,171.89491811291242
94,3,39,新潟県,1,1,2,0,21,8.0,1.8,21.6,506.3971248901782
95,2,46,富山県,1,0,0,3,22,7.0,1.3,17.3,795.3675423484235
96,2,28,香川県,2,1,0,0,10,7.0,1.2,21.4,349.32560156040023
97,3,44,岡山県,2,1,2,0,26,7.0,1.6,0.0,438.1855836524285
98,0,25,京都府,2,1,1,0,7,5.0,0.9,8.4,214.531182233213
99,1,36,宮城県,1,1,4,1,16,0.0,1.4,10.2,388.2478695630931
100,0,26,秋田県,1,0,0,0,8,0.0,0.1,17.8,217.59871095565973
101,2,36,長崎県,1,1,4,1,16,3.0,1.7,13.8,423.04480026884454
102,4,54,愛知県,1,0,0,4,27,10.0,1.0,6.6,541.9905933576623
103,3,40,石川県,2,0,0,1,20,1.0,1.0,20.1,450.927366113379
104,2,42,愛知県,1,0,0,0,24,2.0,0.7,19.0,400.34552862244067
105,0,25,熊本県,2,1,1,1,5,1.0,1.2,16.2,214.9666828279208
106,1,30,岩手県,2,0,0,0,12,3.0,0.5,9.1,297.9899079661426
107,2,37,富山県,2,0,0,0,19,3.0,0.7,6.8,322.4604951814929
108,0,23,岩手県,2,1,2,1,2,0.0,1.1,8.9,231.1068184330351
109,4,49,埼玉県,2,1,1,3,25,4.0,1.9,23.5,493.31260492759174
110,1,47,栃木県,1,0,0,4,20,7.0,1.3,16.5,822.1065272290853
111,2,37,静岡県,1,0,0,0,19,4.0,0.6,9.7,306.7411029162955
112,0,24,北海道,1,0,0,0,3,2.0,0.2,18.7,186.67736229577758
113,0,23,千葉県,1,0,0,2,0,0.0,0.2,17.7,181.11637196758386
114,0,23,千葉県,1,1,2,1,3,2.0,1.1,16.5,254.94858531303203
115,0,28,山形県,1,0,0,2,6,4.0,0.3,10.2,187.84331535153714
116,4,52,徳島県,1,0,0,1,32,4.0,0.8,6.2,533.5339466999817
117,1,45,埼玉県,2,1,1,0,27,-0.0,1.6,11.6,404.9453414325169
118,0,25,茨城県,2,1,2,2,1,5.0,1.4,8.9,217.80119997589821
119,2,52,熊本県,1,1,0,0,34,4.0,1.3,12.7,395.3633488452023
120,2,47,佐賀県,1,1,1,0,29,7.0,1.6,16.2,424.205673796299
121,0,25,兵庫県,1,0,0,1,5,3.0,0.2,14.9,179.5782780303992
122,0,23,大分県,2,1,3,1,2,10.0,1.2,9.3,261.94785973395255
123,1,43,山口県,2,1,2,2,21,4.0,1.6,8.5,375.3356344312857
124,0,24,岩手県,1,1,2,0,4,5.0,1.4,18.1,271.56333054155505
125,0,21,新潟県,2,1,1,1,0,6.0,1.2,4.9,179.1700683234596
126,0,23,広島県,2,0,0,0,5,2.0,0.1,4.1,150.9418944479845
127,0,18,鹿児島県,2,1,2,0,0,3.0,1.0,5.7,200.75058066989885
128,1,25,岡山県,2,1,0,0,7,0.0,1.0,3.6,224.28407450427144
129,0,24,群馬県,2,0,0,2,0,10.0,0.6,8.6,368.6333381294262
130,4,52,奈良県,2,0,0,0,34,9.0,1.1,6.5,525.6127471365229
131,2,43,佐賀県,1,1,4,0,25,12.0,1.5,13.8,471.5175255920887
132,1,35,大分県,2,1,2,0,17,0.0,1.5,9.8,350.06923556494206
133,2,31,福井県,1,0,0,1,9,1.0,0.7,21.2,342.7846922698615
134,2,53,徳島県,1,1,1,1,33,3.0,1.8,21.4,466.69848564958414
135,1,45,三重県,2,1,2,0,27,3.0,1.9,10.5,507.22907982109126
136,0,23,三重県,1,0,0,0,3,2.0,0.2,19.3,216.47110312836566
137,0,25,岩手県,1,1,4,0,7,7.0,1.2,23.5,304.3287584413183
138,0,20,三重県,1,1,1,0,0,5.0,1.2,11.2,213.39988679632697
139,1,50,岩手県,2,1,2,1,30,5.0,1.5,6.4,328.5314846589964
140,0,25,大阪府,1,0,0,0,2,5.0,0.5,17.1,252.94244330745684
141,2,47,鳥取県,2,0,0,1,27,2.0,0.7,0.0,352.114054005372
142,1,36,石川県,1,0,0,0,18,8.0,0.6,18.1,273.8422573715001
143,0,23,群馬県,2,1,3,0,5,6.0,1.1,10.3,262.1443684315468
144,3,37,青森県,2,1,2,0,4,1.0,1.9,7.8,459.95535008251653
145,0,24,岡山県,2,0,0,0,6,-0.0,0.2,5.2,138.9698215390788
146,0,25,愛知県,1,1,1,1,0,0.0,1.2,12.1,236.25256579788464
147,3,36,静岡県,2,0,0,1,16,9.0,0.6,9.1,411.31746275047357
148,3,49,広島県,1,1,3,1,29,7.0,1.9,12.2,526.8002705457591
149,0,24,奈良県,2,0,0,0,6,0.0,0.4,16.3,193.92999518374026
150,2,46,長野県,1,1,3,0,28,4.0,1.6,17.5,474.85960730752436
151,2,46,香川県,2,1,4,1,26,9.0,1.6,8.1,457.82211983351505
152,0,25,三重県,2,0,0,1,5,2.0,0.2,7.3,170.21339184396697
153,0,28,沖縄県,2,0,0,3,4,4.0,0.9,9.3,507.38153154092146
154,0,25,茨城県,2,0,0,1,5,3.0,0.1,6.7,202.948748789599
155,0,27,奈良県,2,1,5,4,0,3.0,1.4,18.2,317.5096988885068
156,0,25,沖縄県,1,0,0,1,5,2.0,0.2,12.4,188.11472408544205
157,0,25,愛知県,1,0,0,0,7,0.0,0.3,19.9,220.35789466588886
158,0,23,北海道,2,1,0,0,5,1.0,0.6,4.4,192.19797842559402
159,4,51,長崎県,1,0,0,2,29,17.0,1.4,11.5,823.0934301182133
160,0,26,茨城県,1,0,0,1,6,0.0,0.3,20.3,217.9995556914938
161,1,37,島根県,2,0,0,1,17,2.0,0.5,25.1,316.5366069271794
162,2,49,大阪府,2,1,0,0,31,0.0,2.4,13.7,430.6070293351971
163,4,47,青森県,2,1,4,2,25,13.0,1.8,5.2,632.099815047296
164,0,26,宮崎県,1,0,0,1,6,6.0,0.2,22.0,209.85769027268591
165,0,24,石川県,1,1,1,0,6,3.0,1.2,16.9,216.56316220294482
166,2,31,広島県,1,1,2,3,0,6.0,1.6,5.9,363.8995424231696
167,1,45,愛知県,2,1,3,0,27,3.0,1.6,9.2,406.18010700772004
168,0,21,富山県,2,1,1,1,0,5.0,1.0,16.6,218.17260956045723
169,1,35,大阪府,1,0,0,3,11,2.0,2.0,11.1,653.1253787749046
170,1,42,東京都,2,1,4,0,24,4.0,2.9,16.2,411.6346847588304
171,0,21,大分県,1,1,2,1,0,0.0,1.3,25.5,278.1252329911301
172,0,23,愛媛県,1,1,2,0,0,4.0,1.2,15.1,251.0968906808893
